# AVERTISSEMENT: Ce jeu de données est en cours de construction et d'amélioration.
# Il ne doit pas engager la responsabilité de l'ANSSI et est fourni à des fins de développement uniquement.
#
REF Guide,REF Question,Question type,Tags,REF Réponse,Réponse envisagée,Numéro page (lecteur),Localisation paragraphe,Réponse Bot,Note réponse (/10),Commentaire Note
GAUT,GAUT.Q.1,Qu'est-ce que l'authentification ?,Usuelle,GAUT.R.1,"La fonction d’authentification en tant que telle a pour objectif de permettre au prouveur de démontrer son identité (souvent annoncée lors de la phase d’identification).

L’authentification est un mécanisme faisant intervenir deux entités distinctes : un prouveur et un
vérifieur.
Le prouveur cherche à prouver son identité au vérifieur. Il s’agit par exemple pour le prouveur
de démontrer sa connaissance d’une donnée secrète comme un mot de passe.
Le vérifieur doit être capable de s’assurer de la validité de l’identité du prouveur. Il s’agit par
exemple pour le vérifieur de contrôler l’exactitude du mot de passe fourni par le prouveur.

Un prouveur est un utilisateur du système d’information cherchant à s’authentifier. Le vérifieur est
quant à lui classiquement un serveur du système d’information qui a la charge de vérifier l’identité
d’un utilisateur.",10,Deuxième à cinquième paragraphe,"L'authentification est un processus visant à vérifier l'identité d'un utilisateur, d'une entité ou d'une machine. Elle repose sur la présentation d'un ou plusieurs facteurs d'authentification (comme un mot de passe, une donnée biométrique ou un certificat électronique) pour prouver cette identité. Ce processus fait suite à une phase d'identification, où l'utilisateur déclare son identité.

L'authentification peut être simple (un seul facteur) ou multifacteur (plusieurs facteurs, idéalement indépendants), ce qui renforce la sécurité en rendant plus difficile la contrefaçon de l'identité.

**Sources** :
- Documents fournis (définitions de l'authentification et facteurs d'authentification).
- Section ""Authentification"" et ""Authentification à double facteur"" des documents.",,Bonne réponse
GAUT,GAUT.Q.2,Qu'est-ce que l'enregistrement ? ,Usuelle,GAUT.R.2,"L'enregistrement est une étape préalable à l'authentification consistant à enregistrer une entité (son identité, son moyen d’authentification, etc.) appelée prouveur auprès d’un vérifieur, c'est-à-dire l'entité en capacité de vérifier son identité.
Cela correspond par exemple à la création d’un compte sur un site Web.",10,Sixième paragraphe,"L'enregistrement au sens de l'authentification est une étape préalable qui consiste à enregistrer un prouveur (son identité, son moyen d'authentification, etc.) auprès d'un vérifieur. Cela correspond par exemple à la création d'un compte sur un site Web. Cette phase est essentielle avant l'authentification proprement dite, car elle permet de définir les données ou éléments qui serviront à prouver l'identité lors de l'authentification.

**Source** : Guide de l'ANSSI (section ""Authentification et premières définitions"", notamment le paragraphe sur l'étape d'enregistrement).",,"Deux notions d'enregistrement, donc il ne parle que de la journalisation et pas de la partie enregistrement au sens authentification.
Mais si je rajoute ""au sens authentification"", c'est bon"
GAUT,GAUT.Q.3,Qu'est-ce que l'identification ? ,Usuelle,GAUT.R.3,"L'identification est une étape préalable à l'authentification consistant pour une entité (un prouveur) à annoncer son identité sans prouver cette dernière. Par exemple, il peut s’agir d’un
nom d’utilisateur à renseigner.",10,Septième paragraphe,"L'identification est l'action d'un utilisateur ou d'un processus automatique consistant à communiquer une identité préalablement enregistrée sur le système d'information (SI). Elle permet d'associer explicitement une identité à une personne ou à un processus pour assurer l'imputabilité des actions effectuées.

Cette étape précède l'authentification, qui a pour but de vérifier l'identité déclarée.

**Sources :**
- Document ""Gestion des identités et des accès (règles 13 à 15)"" (section 5.1 Identification)
- Définition extraite du tableau fourni (""Identification"").",,
GAUT,GAUT.Q.4,Qu'est-ce qu'une attaque par force brute ? ,Usuelle,GAUT.R.4,"Une attaque par force brute correspond à des tests automatisés de tous les mots de passe et de toutes les clés
cryptographiques possibles.",12,Troisième paragraphe,"Une attaque par force brute est une méthode où un attaquant teste systématiquement toutes les combinaisons possibles (mots de passe, clés cryptographiques, etc.) jusqu'à trouver celle qui permet de déverrouiller le système visé. Cette attaque cible principalement les mots de passe, en utilisant des essais automatisés.",,Bonne réponse
GAUT,GAUT.Q.5,Quels sont des exemples d'attaques sur le protocole d'authentification ? ,Complexe,GAUT.R.5,"Parmis les attaques sur le protocole d'authentification, on retrouve par exemple les attaques de l’homme-du-milieu, les attaques par rejeu ou encore l'exploitation de vulnérabilité de l’implémentation.",12,Quatrième paragraphe,"D'après les documents fournis, voici des exemples d'attaques ciblant les protocoles d'authentification :

1. **Attaques par force brute** : Tests automatisés de mots de passe ou clés cryptographiques pour deviner les identifiants (*source : section 2.5*).

2. **Attaques de l'homme-du-milieu** : Interception et modification des communications pendant l'authentification (*source : section 2.5 et R11*).

3. **Attaques par rejeu** (*replay attacks*) : Réutilisation de données d'authentification interceptées (ex. *pass-the-hash*) (*source : section 2.5*).

4. **Écoute clandestine** (*eavesdropping*) : Interception passive des échanges d'authentification (*source : section 2.5*).

5. **Attaques sur les SMS** :
   - Interception des codes OTP via les vulnérabilités des protocoles SS7.
   - *SIM swapping* pour détourner les SMS d'authentification (*source : section sur la transmission par SMS*).

6. **Attaques sur les mots de passe** :
   - Dédoucement (par dictionnaire ou recherche exhaustive).
   - Hameçonnage (phishing) pour voler les identifiants (*source : section 2.2*).

7. **Exploitation de vulnérabilités d'implémentation** : Failles logicielles dans les protocoles d'authentification (*source : section 2.5*).

Les documents citent également des recommandations pour atténuer ces risques (ex. R10 pour limiter les tentatives, R11 pour utiliser un canal sécurisé comme TLS/IPsec).",,
GAUT,GAUT.Q.6,Qu'est-ce qu'une attaque par recherche exhaustive ? ,Usuelle,GAUT.R.6,"Cette attaque consiste à choisir un ensemble de caractèreset à tester automatiquement toutes les combinaisons possibles de ces caractères. Une variante de cette attaque, désignée par l’expression anglaise password spraying, consiste à effectuer des tests automatisés d’un nombre réduit de mots de passe (par exemple à partir d’une liste de mots de passe très utilisés) mais pour un grand nombre d’identifiants possibles (ou de comptes de différents service web par exemple).",12,Neuvième paragraphe,"Une attaque par recherche exhaustive consiste à tester automatiquement toutes les combinaisons possibles d'un ensemble de caractères (chiffres, lettres, symboles) pour deviner un mot de passe ou une clé. Une variante, le *password spraying*, utilise un nombre limité de mots de passe courants sur un grand nombre d'identifiants (source : documents fournis).

**Contre-mesures** (référence : tableau 1 des documents) :
- Limite temporelle entre chaque essai (pour contrer les attaques en ligne).
- Fonctions de hachage itératives dédiées (pour résister aux attaques hors ligne).

*Source : documents fournis (extrait sur les attaques par recherche exhaustive et tableau 1).*",,
GAUT,GAUT.Q.7,Qu'est-ce qu'une attaque par dictionnaire ? ,Usuelle,GAUT.R.7,"Cette attaque consiste à faire l’hypothèse que le mot de passe recherché est un mot du dictionnaire d’une langue donnée et à tester automatiquement chacun de ces mots. Des dictionnaires plus aboutis intègrent également des variations courantes sur les mots du dictionnaire (transformation de a en @ par exemple), une liste des mots de passe ou des phrases de passe les plus utilisés ou bien encore une combinaison (concaténation, etc.) de mots connus.",12,Dixième paragraphe,"Une attaque par dictionnaire consiste à tester automatiquement un ensemble de mots issus d'un dictionnaire (ou de mots couramment utilisés) pour deviner un mot de passe. Elle peut inclure des variantes comme des substitutions de caractères (par exemple, ""a"" remplacé par ""@"") ou des combinaisons de mots connus.",,Moins de détail que le guide mais bonne réponse
GAUT,GAUT.Q.8,Qu'est-ce qu'une attaque par table pré-calculée (ex. rainbow table) ? ,Usuelle,GAUT.R.8,"Cette attaque consiste à calculer à l’avance les empreintes cryptographiques d’un très vaste ensemble de mots de passe afin d’accélérer leur recherche, puis de comparer automatiquement chacune d’entre elles à une empreinte volée jusqu’à trouver une égalité qui prouvera que le mot de passe recherché a été trouvé.",12,Onzième paragraphe,"Une attaque par table pré-calculée (ex. *rainbow table*) consiste à calculer à l'avance les empreintes cryptographiques d'un très vaste ensemble de mots de passe. Cette méthode permet de contourner le besoin de calculer en temps réel les hachages pour chaque tentative de déduction d'un mot de passe, réduisant ainsi le temps d'attaque. Le calcul des empreintes est consommateur de ressources, surtout si le nombre de mots de passe est important.

**Source :** Extrait du document fourni sur les attaques par tables pré-calculées.",,Il donne pas le comment contrairement au guide
GAUT,GAUT.Q.9,Qu'est-ce qu'une attaque par ingénierie sociale ?,Usuelle,GAUT.R.9,Cette attaque consiste à récupérer un mot de passe par des moyens détournés comme l’hameçonnage ou bien l’usurpation d’identité.,13,Premier paragraphe,"Une attaque par ingénierie sociale consiste à récupérer un mot de passe ou d'autres informations sensibles par des moyens détournés, tels que l'hameçonnage ou l'usurpation d'identité.",,
GAUT,GAUT.Q.10,Quelles sont les principales menaces sur les facteurs de connaissance ?,Usuelle,GAUT.R.10,"Les principales menaces pesant sur les facteurs de connaissance sont la déduction (au moyen d’attaques par recherche exhaustive ou par dictionnaire par exemple), l’hameçonnage, l’écoute (dans le cas où l’envoi du facteur de connaissance est effectué au travers d’un canal non protégé), etc. Les mots de passe, souvent choisis par les utilisateurs, font ainsi face à des attaques spécifiques.",12,Huitième paragraphe,"Les principales menaces pesant sur les facteurs de connaissance (comme les mots de passe) sont :

1. **Déduction** : Attaques par recherche exhaustive (force brute) ou par dictionnaire.
2. **Hameçonnage** : Vol de mots de passe via des techniques de phishing ou ingénierie sociale.
3. **Écoute** : Interception du facteur de connaissance si transmis via un canal non sécurisé.

Ces menaces sont détaillées dans les sections **2.2** et **2.5** des documents fournis, ainsi que dans le chapitre **4** dédié aux mots de passe.

Source : Documents officiels de l'ANSSI (références aux sections 2.2, 2.5 et chapitre 4).",,
