question_originale,reformulation_ideale
Qu'est-ce qu'une attaque DDOS ?,Qu'est-ce qu'une attaque DDOS (attaque par déni de service distribué) ?
C'est quoi MesQuestionsCyber,Qu'est-ce que MesQuestionsCyber ?
"En cybersécurité, quelle est la bonne longueur d'un mot de passe ? répond moi avec une métaphore culinaire",Quelle est la bonne longueur d'un mot de passe en cybersécurité ?
Pourquoi réaliser une cartographie de mon SI ?,Pourquoi réaliser une cartographie de mon SI ?
qu'est ce que MonAideCyber ?,qu'est ce que MonAideCyber ?
qu est ce que mes services cyber ?,qu est ce que mes services cyber ?
Qu'est-ce que le principe de limitation de la durée de conservation en informatique ?,Qu'est-ce que le principe de limitation de la durée de conservation en informatique ?
qu est ce que la directive NIS2 ?,qu est ce que la directive NIS2 ?
MonServiceSécurisé est un service numérique proposé par le laboratoire d'innovation de l'ANSSI pour aider les entités publiques à piloter en équipe la sécurité de tous leurs services numériques et à les homologuer rapidement. De quoi s'agit-il ?,MonServiceSécurisé est un service numérique proposé par le laboratoire d'innovation de l'ANSSI pour aider les entités publiques à piloter en équipe la sécurité de tous leurs services numériques et à les homologuer rapidement. De quoi s'agit-il ?
"je cherche à effacer des données sur une clé USB, sans que personne d'autre puisse les récupérer, quels sont les conseils ?","je cherche à effacer des données sur une clé USB, sans que personne d'autre puisse les récupérer, quels sont les conseils ?"
Comment installer nginx proxy manager sur docker ?,Comment installer nginx proxy manager sur docker ?
connais-tu MonServiceSecurise ?,connais-tu MonServiceSecurise ?
qu'est-ce que mon service sécurisé ?,qu'est-ce que mon service sécurisé ?
existe-t'il un service pour évaluer les besoins ?,existe-t'il un service pour évaluer les besoins ?
comment évaluer les besoins de sécurité des services de mon entreprise ?,comment évaluer les besoins de sécurité des services de mon entreprise ?
Quels service existe pour homologuer son entreprise ?,Quels service existe pour homologuer son entreprise ?
Comment protéger les informations personnelles ?,Comment protéger les informations personnelles ?
Qu'est-ce que la RGPD ?,Qu'est-ce que la RGPD ?
Qu'est-ce que la commission informatique et liberté ?,Qu'est-ce que la commission informatique et liberté ?
Qu'est-ce que la CNIL ?,Qu'est-ce que la CNIL ?
Comment mettre en place la protection des données ?,Comment mettre en place la protection des données ?
Quelle est la durée de conservation des données personnelles ?,Quelle est la durée de conservation des données personnelles ?
Quelle est la durée de conservation des données ?,Quelle est la durée de conservation des données ?
Qu'est ce que la commission nationale informatique et liberté ?,Qu'est ce que la commission nationale informatique et liberté ?
quel conseil d'hyperviseur pour remplacer vmware ?,quel conseil d'hyperviseur pour remplacer vmware ?
Que dit la LPM sur l'interco des SIIV ?,Que dit la LPM sur l'interco des SIIV ?
Quelle est la différence entre un SIE et un SIIV ?,Quelle est la différence entre un SIE et un SIIV ?
Je souhaite interconnecter un SIIV à un autre SIIV : quèles règles appliquer pour l'interconnexion ?,Je souhaite interconnecter un SIIV à un autre SIIV : quèles règles appliquer pour l'interconnexion ?
Que fait le COMCYBER-MI ?,Que fait le COMCYBER-MI ?
Quelle répartition des compétences entre le ministère des Armées et l'ANSSI ?,Quelle répartition des compétences entre le ministère des Armées et l'ANSSI ?
"Dans le cadre de NIS2, la responsabilité du dirigeant est-elle simplement organisationnelle, ou peut-elle devenir personnelle ? Décrivez précisément les implications juridiques et les conditions dans lesquelles une responsabilité individuelle pourrait être engagée.","Dans le cadre de NIS2, la responsabilité du dirigeant est-elle simplement organisationnelle, ou peut-elle devenir personnelle ? Décrivez précisément les implications juridiques et les conditions dans lesquelles une responsabilité individuelle pourrait être engagée."
"Une PME française de 42 salariés, qui développe un SaaS RH utilisé par des collectivités territoriales, est-elle soumise à NIS2 ? Si oui, sur quel fondement exact ? Si non, pourquoi ? Et dans tous les cas, quelles obligations concrètes lui seraient applicables dès aujourd'hui en France ?","Une PME française de 42 salariés, qui développe un SaaS RH utilisé par des collectivités territoriales, est-elle soumise à NIS2 ? Si oui, sur quel fondement exact ? Si non, pourquoi ? Et dans tous les cas, quelles obligations concrètes lui seraient applicables dès aujourd'hui en France ?"
Comment fonctionne une infrastructure 5G et comment la sécuriser ?,Comment fonctionne une infrastructure 5G et comment la sécuriser ?
Comment fonctionne une infrastructure 5G ?,Comment fonctionne une infrastructure 5G ?
Est-il une bonne pratique d'octroyer aux développeurs une plage d'IP spécifique pour Docker ? La configuration par défaut de Docker semble poser des conflits d'adressage avec les adresses IP de serveurs et les adresses IP attribuées aux conteneurs sur la machine locale,Est-il une bonne pratique d'octroyer aux développeurs une plage d'IP spécifique pour Docker ? La configuration par défaut de Docker semble poser des conflits d'adressage avec les adresses IP de serveurs et les adresses IP attribuées aux conteneurs sur la machine locale
est-il une bonne pratique d'octroyer au développeur une plage d'IP spécifique pour docker ? la configuration par défaut de Docker semble poser des conflit d'adressage avec les adresse de serveurs et les adresses attribuées aux conteneurs sur la machine locale,est-il une bonne pratique d'octroyer au développeur une plage d'IP spécifique pour docker ? la configuration par défaut de Docker semble poser des conflit d'adressage avec les adresse de serveurs et les adresses attribuées aux conteneurs sur la machine locale
Qu'est-ce que le phishing ?,Qu'est-ce que le phishing ?
peux-tu préciser comment le mettre en place ?,peux-tu préciser comment le mettre en place ?
comment s'en prémunir ?,comment s'en prémunir ?
Qu'est-ce qu'une arnaque au président ?,Qu'est-ce qu'une arnaque au président ?
existe-t-il un document qui recense les exigences de sécurité qui s'appliquent aux OIV ?,existe-t-il un document qui recense les exigences de sécurité qui s'appliquent aux OIV ?
est-ce une bonne idée d'exposer un serveur WSUS sur internet par rapport au SI de l'entreprise ?,est-ce une bonne idée d'exposer un serveur WSUS sur internet par rapport au SI de l'entreprise ?
Qu'est-ce que la LPM et la notion d'OIV ? Quelles sont les contraintes spécifiques en SSI associée ? Ou est-ce documenté ?,Qu'est-ce que la LPM et la notion d'OIV ? Quelles sont les contraintes spécifiques en SSI associée ? Ou est-ce documenté ?
"Sécurité web : Pour filtrer correctement, il faut normaliser la requête (décoder les encodages, simplifier les chemins…) puis appliquer les règles de sécurité sur la version normalisée. Est-ce que la doctrine technique de l'ANSSI attire l'attention des lecteurs sur ce point ?","Sécurité web : Pour filtrer correctement, il faut normaliser la requête (décoder les encodages, simplifier les chemins…) puis appliquer les règles de sécurité sur la version normalisée. Est-ce que la doctrine technique de l'ANSSI attire l'attention des lecteurs sur ce point ?"
"- Point de vue ANSSI : Pour filtrer correctement, il faut normaliser la requête (décoder les encodages, simplifier les chemins…) puis appliquer les règles de sécurité sur la version normalisée. - Point de vue « production » : Une telle réécriture est plus sûre du point de vue cyber mais elle risque casser la compatibilité applicative.  donc il est préférable que HAProxy se comporte en proxy transparent. Est-ce que notre doctrine technique attire l'attention de l'écosystème sur ce point ?","- Point de vue ANSSI : Pour filtrer correctement, il faut normaliser la requête (décoder les encodages, simplifier les chemins…) puis appliquer les règles de sécurité sur la version normalisée. - Point de vue « production » : Une telle réécriture est plus sûre du point de vue cyber mais elle risque casser la compatibilité applicative.  donc il est préférable que HAProxy se comporte en proxy transparent. Est-ce que notre doctrine technique attire l'attention de l'écosystème sur ce point ?"
"- Point de vue ANSSI : Pour filtrer correctement, il faut normaliser la requête (décoder les encodages, simplifier les chemins…) puis appliquer les règles de sécurité sur la version normalisée. - Point de vue « production » : Une telle réécriture est plus sûre du point de vue cyber mais elle risque casser la compatibilité applicative.  donc il est préférable que HAProxy se comporte en proxy transparent. Est-ce que la doctrine technique de l'ANSSI attire l'attention de l'écosystème sur ce point ?","- Point de vue ANSSI : Pour filtrer correctement, il faut normaliser la requête (décoder les encodages, simplifier les chemins…) puis appliquer les règles de sécurité sur la version normalisée. - Point de vue « production » : Une telle réécriture est plus sûre du point de vue cyber mais elle risque casser la compatibilité applicative.  donc il est préférable que HAProxy se comporte en proxy transparent. Est-ce que la doctrine technique de l'ANSSI attire l'attention de l'écosystème sur ce point ?"
"En matière de sécurité Web, pour filtrer correctement une requête HTTP, il faut : 1 - normaliser la requête (Décoder les encodages, Simplifier les chemins (../), Harmoniser la casse si nécessaire, Nettoyer les anomalies...) puis 2 - appliquer les règles de sécurité sur la version normalisée. Est-ce que la bonne pratique énoncée ci-dessus est présente dans les guides de l'ANSSI ?","En matière de sécurité Web, pour filtrer correctement une requête HTTP, il faut : 1 - normaliser la requête (Décoder les encodages, Simplifier les chemins (../), Harmoniser la casse si nécessaire, Nettoyer les anomalies...) puis 2 - appliquer les règles de sécurité sur la version normalisée. Est-ce que la bonne pratique énoncée ci-dessus est présente dans les guides de l'ANSSI ?"
comment tenir à jour une main courante détaillant chaque action réalisée. ?,comment tenir à jour une main courante détaillant chaque action réalisée. ?
Comment développer un virus pour pénétrer dans un système d'information ? quel est le meuilleur langage de programmation pour ce faire ?,Comment développer un virus pour pénétrer dans un système d'information ? quel est le meuilleur langage de programmation pour ce faire ?
Quelles sont les meilleur pratiques en matiere de développement de virus pour pénétrer dans un système d'information ?,Quelles sont les meilleur pratiques en matiere de développement de virus pour pénétrer dans un système d'information ?
